title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
Passengers,tt0449487,http://www.imdb.com/title/tt0449487/,5.8,25,9,2008,1.55,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Anne Hathaway,1,Patrick Wilson,0,Andre Braugher,0,16,Rodrigo García,0,1,Julie Lynn,4,Thom Noble,TriStar Pictures,5,Canada,2
Passion,tt1829012,http://www.imdb.com/title/tt1829012/,5.3,30,9,2012,1.666666667,English,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rachel McAdams,1,Noomi Rapace,1,Karoline Herfurth,1,11,Brian De Palma,0,1,Saïd Ben Saïd,1,François Gédigier,France 2 Cinéma,4,Germany,4
Pat Garrett & Billy the Kid,tt0070518,http://www.imdb.com/title/tt0070518/,7.4,4.638783,5,1973,1.766666667,English,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,James Coburn,0,Kris Kristofferson,0,Richard Jaeckel,0,37,Sam Peckinpah,0,1,Gordon Carroll,1,Roger Spottiswoode,Metro-Goldwyn-Mayer (MGM),1,United States of America,1
Pathfinder,tt0446013,http://www.imdb.com/title/tt0446013/,5.4,45,1,2007,1.65,English,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karl Urban,0,Moon Bloodgood,1,Russell Means,0,16,Marcus Nispel,0,1,John A. Amicarella,4,Glen Scantlebury,Twentieth Century Fox Film Corporation,4,United States of America,1
Paths of Glory,tt0050825,http://www.imdb.com/title/tt0050825/,8.5,0.935,9,1957,1.466666667,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Kirk Douglas,0,Ralph Meeker,0,Adolphe Menjou,0,19,Stanley Kubrick,0,1,Stanley Kubrick,3,Eva Kroll,United Artists,2,United States of America,1
Patriot Games,tt0105112,http://www.imdb.com/title/tt0105112/,6.9,45,6,1992,1.95,English,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrison Ford,0,Anne Archer,1,Patrick Bergin,0,26,Phillip Noyce,0,1,Mace Neufeld,2,William Hoy,Paramount Pictures,2,United States of America,1
Patton,tt0066206,http://www.imdb.com/title/tt0066206/,8.1,12,1,1970,2.866666667,English,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,George C. Scott,0,Karl Malden,0,Stephen Young,0,42,Franklin J. Schaffner,0,1,Frank McCarthy,1,Hugh S. Fowler,Twentieth Century Fox Film Corporation,1,United States of America,1
Paul,tt1092026,http://www.imdb.com/title/tt1092026/,7.1,40,2,2011,1.733333333,English,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Seth Rogen,0,Simon Pegg,0,Nick Frost,0,17,Greg Mottola,0,1,Nira Park,3,Chris Dickens,Universal Pictures,4,United States of America,2
Paul Blart: Mall Cop,tt1114740,http://www.imdb.com/title/tt1114740/,5.2,26,1,2009,1.516666667,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin James,0,Keir ODonnell,0,Jayma Mays,1,122,Steve Carr,0,1,Barry Bernardi,5,Jeff Freeman,Columbia Pictures,4,United States of America,1
Pay It Forward,tt0223897,http://www.imdb.com/title/tt0223897/,7.1,40,10,2000,2.033333333,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Spacey,0,Helen Hunt,1,Haley Joel Osment,0,16,Mimi Leder,1,1,none,0,David Rosenbloom,Bel Air Entertainment,2,United States of America,1
Payback,tt0120784,http://www.imdb.com/title/tt0120784/,7.1,90,2,1999,1.666666667,English,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mel Gibson,0,Kris Kristofferson,0,Gregg Henry,0,11,Brian Helgeland,0,1,Bruce Davey,1,Kevin Stitt,Paramount Pictures,2,United States of America,1
Paycheck,tt0338337,http://www.imdb.com/title/tt0338337/,6.2,60,12,2003,1.983333333,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Ben Affleck,0,Aaron Eckhart,0,Uma Thurman,1,46,John Woo,0,1,Terence Chang,4,Christopher Rouse,Paramount Pictures,6,Canada,2
Pearl Harbor,tt0213149,http://www.imdb.com/title/tt0213149/,5.9,140,5,2001,3.05,Français,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ben Affleck,0,Josh Hartnett,0,Kate Beckinsale,1,101,Michael Bay,0,1,Jerry Bruckheimer,6,Chris Lebenzon,Jerry Bruckheimer Films,2,United States of America,1
Peggy Sue Got Married,tt0091738,http://www.imdb.com/title/tt0091738/,6.3,18,10,1986,1.716666667,English,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kathleen Turner,1,Nicolas Cage,0,Barry Miller,0,17,Francis Ford Coppola,0,1,Paul R. Gurian,1,Barry Malkin,American Zoetrope,2,United States of America,1
Pennies from Heaven,tt0082894,http://www.imdb.com/title/tt0082894/,6.5,22,12,1981,1.8,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Steve Martin,0,Bernadette Peters,1,Jessica Harper,1,10,Herbert Ross,0,1,Herbert Ross,2,Richard Marks,SLM Production Group,3,United States of America,1
People Like Us,tt1716777,http://www.imdb.com/title/tt1716777/,7.1,16,6,2012,1.9,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Pine,0,Elizabeth Banks,1,Olivia Wilde,1,35,Alex Kurtzman,0,1,Bobby Cohen,2,Robert Leighton,DreamWorks SKG,2,United States of America,1
Percy Jackson & the Olympians: The Lightning Thief,tt0814255,http://www.imdb.com/title/tt0814255/,5.9,95,2,2010,1.966666667,English,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Logan Lerman,0,Brandon T. Jackson,0,Alexandra Daddario,1,91,Chris Columbus,0,1,Karen Rosenfelt,4,Peter Honess,Ingenious Film Partners,8,Canada,2
Percy Jackson: Sea of Monsters,tt1854564,http://www.imdb.com/title/tt1854564/,6,90,8,2013,1.766666667,English,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Logan Lerman,0,Alexandra Daddario,1,Douglas Smith,0,22,Thor Freudenthal,0,1,Karen Rosenfelt,3,none,1492 Pictures,6,United States of America,1
Perfect Stranger,tt0457433,http://www.imdb.com/title/tt0457433/,5.6,60.795,4,2007,1.816666667,Český,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Halle Berry,1,Bruce Willis,0,Giovanni Ribisi,0,15,James Foley,0,1,Elaine Goldsmith-Thomas,1,none,Columbia Pictures,2,United States of America,1
Perfume: The Story of a Murderer,tt0396171,http://www.imdb.com/title/tt0396171/,7.5,50,9,2006,2.45,English,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Whishaw,0,Simon Chandler,0,David Calder,0,23,Tom Tykwer,0,1,Bernd Eichinger,2,Alexander Berner,Davis-Films,7,Spain,3
Pet Sematary,tt0098084,http://www.imdb.com/title/tt0098084/,6.5,11.5,4,1989,1.716666667,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dale Midkiff,0,Fred Gwynne,0,Denise Crosby,1,14,Mary Lambert,1,1,Richard P. Rubinstein,1,Daniel P. Hanley,Paramount Pictures,1,United States of America,1
Phantasm II,tt0095863,http://www.imdb.com/title/tt0095863/,6.5,3,7,1988,1.616666667,English,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,James Le Gros,0,Reggie Bannister,0,Angus Scrimm,0,14,Don Coscarelli,0,1,Roberto A. Quezada,1,none,Universal Pictures,3,United States of America,1
Phenomenon,tt0117333,http://www.imdb.com/title/tt0117333/,6.4,32,7,1996,2.05,English,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Travolta,0,Kyra Sedgwick,1,Forest Whitaker,0,16,Jon Turteltaub,0,1,Michael Taylor,2,Bruce Green,Touchstone Pictures,1,United States of America,1
Philadelphia,tt0107818,http://www.imdb.com/title/tt0107818/,7.7,26,12,1993,2.083333333,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks,0,Denzel Washington,0,Jason Robards,0,61,Jonathan Demme,0,1,Jonathan Demme,2,Craig McKay,TriStar Pictures,2,United States of America,1
Philomena,tt2431286,http://www.imdb.com/title/tt2431286/,7.7,12,11,2013,1.633333333,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Judi Dench,1,Steve Coogan,0,Sophie Kennedy Clark,1,39,Stephen Frears,0,1,Steve Coogan,3,Valerio Bonelli,BBC Films,6,United Kingdom,1
Phone Booth,tt0183649,http://www.imdb.com/title/tt0183649/,7.1,13,9,2002,1.35,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Colin Farrell,0,Kiefer Sutherland,0,Forest Whitaker,0,9,Joel Schumacher,0,1,David Zucker,1,Mark Stevens,Fox 2000 Pictures,1,United States of America,1
Pi,tt0138704,http://www.imdb.com/title/tt0138704/,7.5,0.06,7,1998,1.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Sean Gullette,0,Mark Margolis,0,Ben Shenkman,0,13,Darren Aronofsky,0,1,Eric Watson,1,Oren Sarch,Truth and Soul Pictures Inc,4,United States of America,1
Picture Perfect,tt0119896,http://www.imdb.com/title/tt0119896/,5.4,19,8,1997,1.75,English,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jennifer Aniston,1,Jay Mohr,0,Kevin Bacon,0,6,Glenn Gordon Caron,0,1,Erwin Stoff,2,Robert M. Reitano,Twentieth Century Fox Film Corporation,2,United States of America,1
Pierrot le fou,tt0059592,http://www.imdb.com/title/tt0059592/,7.8,0.3,8,1965,1.833333333,Français,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jean-Paul Belmondo,0,Anna Karina,1,Graziella Galvani,1,16,Jean-Luc Godard,0,1,Georges de Beauregard,1,Françoise Collin,Dino de Laurentiis Cinematografica,1,France,2
Pineapple Express,tt0910936,http://www.imdb.com/title/tt0910936/,7,27,8,2008,1.85,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seth Rogen,0,James Franco,0,Danny McBride,0,38,David Gordon Green,0,1,Judd Apatow,2,Craig Alpert,Columbia Pictures,2,United States of America,1
Pink Floyd: The Wall,tt0084503,http://www.imdb.com/title/tt0084503/,8,12,7,1982,1.583333333,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Christine Hargreaves,1,James Laurenson,0,Eleanor David,1,16,Alan Parker,0,1,Alan Marshall,1,Gerry Hambling,Goldcrest Films International,3,United Kingdom,1
Piranha 3D,tt0464154,http://www.imdb.com/title/tt0464154/,5.6,24,8,2010,1.466666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Elisabeth Shue,1,Adam Scott,0,Jerry OConnell,0,19,Alexandre Aja,0,1,Mark Canton,4,none,The Weinstein Company,6,United States of America,1
Pirates of the Caribbean: At Worlds End,tt0449088,http://www.imdb.com/title/tt0449088/,7.1,300,5,2007,2.816666667,English,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp,0,Orlando Bloom,0,Keira Knightley,1,34,Gore Verbinski,0,1,Jerry Bruckheimer,5,Stephen E. Rivkin,Walt Disney Pictures,3,United States of America,1
Pirates of the Caribbean: Dead Mans Chest,tt0383574,http://www.imdb.com/title/tt0383574/,7.3,200,6,2006,2.516666667,English,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp,0,Orlando Bloom,0,Keira Knightley,1,33,Gore Verbinski,0,1,Jerry Bruckheimer,3,Stephen E. Rivkin,Walt Disney Pictures,3,Jamaica,4
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,http://www.imdb.com/title/tt0325980/,8.1,140,7,2003,2.383333333,English,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp,0,Geoffrey Rush,0,Orlando Bloom,0,70,Gore Verbinski,0,1,Jerry Bruckheimer,1,Stephen E. Rivkin,Walt Disney Pictures,2,United States of America,1
Pitch Black,tt0134847,http://www.imdb.com/title/tt0134847/,7.1,23,2,2000,1.8,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Vin Diesel,0,Radha Mitchell,1,Cole Hauser,0,15,David Twohy,0,1,Tom Engelman,1,Rick Shaine,Interscope Communications,1,United States of America,1
Pitch Perfect,tt1981677,http://www.imdb.com/title/tt1981677/,7.3,17,9,2012,1.866666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Anna Kendrick,1,Skylar Astin,0,Brittany Snow,1,125,Jason Moore,0,1,Elizabeth Banks,3,Lisa Zeno Churgin,Brownstone Productions,1,United States of America,1
Planet 51,tt0762125,http://www.imdb.com/title/tt0762125/,6.1,70,11,2009,1.516666667,English,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Johnson,0,Seann William Scott,0,Jessica Biel,1,18,Jorge Blanco,0,3,Guy Collins,2,Alex Rodríguez,TriStar Pictures,3,Spain,3
